	zh_tw	zh	en

#ChartExport
i18n_ServCloud_Export	匯出	汇出	Export
i18n_ServCloud_Download_Pdf	以pdf檔下載	以pdf档下载	download as pdf
i18n_ServCloud_Download_Png	以png檔下載	以png档下载	download as png

#dashboard
i18n_ServCloud_AchievementRate	目標達成率	目标达成率	Achievement Rate
i18n_ServCloud_invalidTrend	無效時間推移圖	无效时间推移图	Down Time Trend Report
i18n_ServCloud_Production_Transition_Diagram	生產有效推移圖	生产有效推移图	Validity Transition Diagram
i18n_ServCloud_Yield_Transition_Diagram	良率推移圖	良率推移图	Yield Transition Diagram
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_Machine_List	機台列表	机台列表	Machine List
i18n_ServCloud_Utilization	稼動率	稼动率	Utilization
i18n_ServCloud_DailyUtilization	日稼動率報表	日稼动率报表	Daily Utilization
i18n_ServCloud_Utilization_by_Machine	各機台日稼動報表	各机台日稼动报表	Utilization by Machine
i18n_ServCloud_ProcessParam	過程參數	过程参数	Process Param
i18n_ServCloud_Monitoring_All_Zone	全廠區	全厂区	All Plant Area
i18n_ServCloud_DI_Exposure_Machine	單機監控(DI曝光機)	单机监控(DI曝光机)	DI exposure machine
i18n_ServCloud_Outer_Layer_Treatment	單機監控(外層前處理)	单机监控(外层前处理)	Outer layer treatment
i18n_ServCloud_Tool_Status	刀具狀態	刀具状态	Tool Status

#general
i18n_ServCloud_Hippo_OOM	資料量過大，請縮小查詢條件	资料量过大，请缩小查询条件	The amount of data is too large, please narrow down the query conditions.
i18n_ServCloud_Stk_Required	此欄位必填	此栏位必填	Required
i18n_ServCloud_Stk_Pk	欄位名稱，不得重複	栏位名称，不得重复	Duplicate value is not allowed
i18n_ServCloud_Cancel	取消	取消	Cancel
i18n_ServCloud_Edit	編輯	编辑	Edit
i18n_ServCloud_Delete	刪除	删除	delete
i18n_ServCloud_Add	新增	新增	Add
i18n_ServCloud_Query	查詢	查询	Query
i18n_ServCloud_Number	編號	编号	Number
i18n_ServCloud_Query_Conditions	查詢條件	查询条件	Query conditions
i18n_ServCloud_Query_Result	查詢結果	查询结果	Query Result
i18n_ServCloud_Work_Shift	班別	班别	Work Shift

#datatables
i18n_ServCloud_sEmptyTable	表中數據為空	表中数据为空	No data available in table
i18n_ServCloud_sInfo	顯示第 _START_ 至 _END_ 項結果，共 _TOTAL_ 項	显示第 _START_ 至 _END_ 项结果，共 _TOTAL_ 项	Showing _START_ to _END_ of _TOTAL_ entries
i18n_ServCloud_sInfoEmpty	顯示第 0 至 0 項結果，共 0 項	显示第 0 至 0 项结果，共 0 项	Showing 0 to 0 of 0 entries
i18n_ServCloud_sInfoFiltered	(由 _MAX_ 項結果過濾)	(由 _MAX_ 项结果过滤)	(filtered from _MAX_ total entries)
i18n_ServCloud_sInfoThousands	,	,	,
i18n_ServCloud_sLengthMenu	顯示 _MENU_ 項結果	显示 _MENU_ 项结果	Show _MENU_ entries
i18n_ServCloud_sLoadingRecords	載入中...	载入中...	Loading...
i18n_ServCloud_sProcessing	處理中...	处理中...	Processing...
i18n_ServCloud_sSearch	搜尋	搜寻	Search:
i18n_ServCloud_sZeroRecords	沒有匹配結果	没有匹配结果	No matching records found
i18n_ServCloud_oPaginate_sFirst	首頁	首页	First
i18n_ServCloud_oPaginate_sLast	末頁	末页	Last
i18n_ServCloud_oPaginate_sNext	下頁	下页	Next
i18n_ServCloud_oPaginate_sPrevious	上頁	上页	Previous
i18n_ServCloud_oAria_sSortAscending	: 以升序排列此列	: 以升序排列此列	: activate to sort column ascending
i18n_ServCloud_oAria_sSortDescending	: 以降序排列此列	: 以降序排列此列	: activate to sort column descending

# servtrack
i18n_ServCloud_Employee	人員	人员	Employee
i18n_ServCloud_Tool_ID	刀具編號	刀具编号	Tool ID
i18n_ServCloud_Mold_Id	模組編號	模组编号	Mold ID
i18n_ServCloud_Shift	班次	班次	Shift
